time,L_theta_total,L_phi_total,mean_theta_dot,mean_phi_dot,L_theta_ring0,omega_theta_ring0,L_theta_ring1,omega_theta_ring1,L_theta_ring2,omega_theta_ring2,L_theta_ring3,omega_theta_ring3,rel_omega_theta,rel_omega_phi
49.7000,251.934530,251.557456,0.096210,2.515575,-228.899701,-2.360323,5.158800,-0.128460,-564.710230,-2.305729,0.000000,0.000000,2.231863,13.646184
49.7250,144.606170,119.807188,0.292748,1.198072,566.491275,3.854049,-316.113478,-3.065762,264.311318,1.052133,0.000000,0.000000,-6.919811,9.451524
49.7500,-151.748414,95.657801,-0.212222,0.956578,-34.366908,-0.060746,-102.324224,-0.359881,0.000000,0.000000,0.000000,0.000000,-0.299134,0.699631
49.7750,115.520466,-44.407270,0.311202,-0.444073,160.043437,1.613793,-117.522067,-1.526048,-199.271335,-0.522363,0.000000,0.000000,-3.139841,0.958818
49.8000,652.560264,-121.702665,0.499556,-1.217027,-1.505154,0.214829,612.842984,0.746549,0.000000,0.000000,0.000000,0.000000,0.531721,4.916624
49.8250,-314.034400,-62.030504,-0.394344,-0.620305,52.364378,0.472052,-23.944423,-0.395376,-421.214817,-1.352743,0.000000,0.000000,-0.867428,10.258420
49.8500,6.587389,-154.469501,-0.366677,-1.544695,-58.705601,-0.567687,-231.859506,-3.167113,-315.194683,-1.328891,0.000000,0.000000,-2.599426,-2.972365
49.8750,411.228650,-82.728129,0.504942,-0.827281,111.349905,0.461027,299.878745,0.547134,0.000000,0.000000,0.000000,0.000000,0.086107,3.215197
49.9000,-343.800817,11.264457,-0.689769,0.112645,-203.796957,-1.061239,-79.063143,-0.269960,0.000000,0.000000,0.000000,0.000000,0.791279,-2.467872
49.9250,-30.372559,-191.227450,-0.464158,-1.912274,-469.818848,-1.818266,287.037978,0.630832,0.000000,0.000000,0.000000,0.000000,2.449098,0.986343
49.9500,5.750105,-132.937320,0.137018,-1.329373,-153.997108,-1.105334,288.963308,3.160308,472.815023,1.428340,0.000000,0.000000,4.265642,9.353199
49.9750,547.899838,-7.749804,0.360548,-0.077498,347.135014,0.490793,228.490463,0.382559,0.000000,0.000000,0.000000,0.000000,-0.108234,4.615101
